Beer,Brewery,Location,Style,Size,ABV,IBUs
Woodchuck Amber Hard Cider,Woodchuck Hard Cider,"Middlebury, VT",Cider,12 oz.,5.00%,N/A
Point Nude Beach Summer Wheat,Stevens Point Brewery,"Stevens Point, WI",American Pale Wheat Ale,12 oz.,5.00%,7
Sea Dog Wild Blueberry Wheat Ale,Sea Dog Brewing Company,"Portland, ME",Fruit / Vegetable Beer,12 oz.,4.70%,N/A
Pumpkinhead Ale,Shipyard Brewing Company,"Portland, ME",Pumpkin Ale,12 oz.,4.70%,N/A
Ambitious Lager,Wildwood Brewing Company,"Stevensville, MT",Munich Helles Lager,16 oz.,5.00%,N/A
Boont Amber Ale (2010),Anderson Valley Brewing Company,"Boonville, CA",American Amber / Red Ale,12 oz.,5.80%,15
Cut Throat Pale Ale,Finch's Beer Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.50%,N/A
Hoopla Pale Ale,Boulder Beer Company,"Boulder, CO",American Pale Ale (APA),12 oz.,5.70%,35
Rail Yard Ale,Wynkoop Brewing Company,"Denver, CO",American Amber / Red Ale,12 oz.,5.20%,N/A
Gordon Imperial Red (2010),Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,12 oz.,8.70%,85
Gordon (2005),Oskar Blues Brewery,"Lyons, CO",American Double / Imperial IPA,12 oz.,9.20%,85
Ten Fidy Imperial Stout (2008),Oskar Blues Brewery,"Lyons, CO",Russian Imperial Stout,12 oz.,9.50%,98
Ten Fidy Imperial Stout (2007),Oskar Blues Brewery,"Lyons, CO",Russian Imperial Stout,12 oz.,9.90%,98
Hell or High Watermelon Wheat (2009),21st Amendment Brewery,"San Francisco, CA",Fruit / Vegetable Beer,12 oz.,4.90%,17
Hell or High Watermelon Wheat (2009),21st Amendment Brewery,"San Francisco, CA",Fruit / Vegetable Beer,12 oz.,4.90%,17
21st Amendment Watermelon Wheat Beer (2006),21st Amendment Brewery,"San Francisco, CA",Fruit / Vegetable Beer,12 oz.,4.90%,17
21st Amendment IPA (2006),21st Amendment Brewery,"San Francisco, CA",American IPA,12 oz.,7.00%,70
Brush Creek Blonde,Bonfire Brewing Company,"Eagle, CO",American Blonde Ale,16 oz.,4.80%,N/A
Brew Free! or Die IPA (2008),21st Amendment Brewery,"San Francisco, CA",American IPA,12 oz.,7.00%,70
Brew Free! or Die IPA (2009),21st Amendment Brewery,"San Francisco, CA",American IPA,12 oz.,7.00%,70
Ashland Amber Ale (2009),Caldera Brewing Company,"Ashland, OR",American Amber / Red Ale,12 oz.,5.40%,24
Caldera IPA (2009),Caldera Brewing Company,"Ashland, OR",American IPA,12 oz.,6.10%,94
Caldera IPA (2007),Caldera Brewing Company,"Ashland, OR",American IPA,12 oz.,6.10%,94
Caldera Pale Ale (2010),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),12 oz.,5.60%,55
Caldera Pale Ale (2009),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),12 oz.,5.60%,55
Caldera Pale Ale (2005),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),12 oz.,5.60%,55
Caldera Pale Ale (2007),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),12 oz.,5.60%,55
Old Chub (2008),Oskar Blues Brewery,"Lyons, CO",Scottish Ale,12 oz.,8.00%,35
Old Chub (2004),Oskar Blues Brewery,"Lyons, CO",Scottish Ale,12 oz.,8.00%,35
Old Chub (2003),Oskar Blues Brewery,"Lyons, CO",Scottish Ale,12 oz.,8.00%,35
Carolina Lighthouse (2007),Carolina Beer & Beverage,"Mooresville, NC",American Blonde Ale,12 oz.,4.00%,N/A
Carolina Blonde (2006),Carolina Beer & Beverage,"Mooresville, NC",American Blonde Ale,12 oz.,5.00%,N/A
Carolina Blonde Light (2005),Carolina Beer & Beverage,"Mooresville, NC",American Blonde Ale,12 oz.,3.50%,N/A
Choc Beer (2003),Krebs Brewing Company (Pete's Pl...,"Krebs, OK",American Dark Wheat Ale,12 oz.,4.00%,9
T-6 Red Ale (2004),Warbird Brewing Company,"Fort Wayne, IN",American Amber / Red Ale,12 oz.,4.70%,N/A
November Gale Pale Ale,Keweenaw Brewing Company,"Houghton, MI",American Pale Ale (APA),12 oz.,???,N/A
Brownstone,Sixpoint Craft Ales,"Brooklyn, NY",American Brown Ale,16 oz.,5.90%,47
Mr. Pineapple,SanTan Brewing Company,"Chandler, AZ",Fruit / Vegetable Beer,12 oz.,5.00%,20
O-Gii,Milwaukee Brewing Company,"Milwaukee, WI",Witbier,16 oz.,9.20%,N/A
Mutton Buster,Payette Brewing Company,"Garden City, ID",American Brown Ale,12 oz.,5.50%,25
Autumnal Molé Stout,Ska Brewing Company,"Durango, CO",American Stout,12 oz.,???,N/A
Blueberry Blonde Ale,Matt Brewing Company,"Utica, NY",American Blonde Ale,12 oz.,5.00%,12
Point Nude Beach Summer Wheat (2011),Stevens Point Brewery,"Stevens Point, WI",American Pale Wheat Ale,12 oz.,5.00%,7
Harpoon IPA (2012),Harpoon Brewery,"Boston, MA",American IPA,12 oz.,5.90%,42
Harpoon Summer Beer (2012),Harpoon Brewery,"Boston, MA",Kölsch,12 oz.,5.00%,28
Full Moon Belgian White Ale,Mudshark Brewing Company,"Lake Havasu City, AZ",Witbier,12 oz.,8.50%,N/A
Moose Drool Brown Ale (2011),Big Sky Brewing Company,"Missoula, MT",American Brown Ale,12 oz.,5.10%,26
Montana Trout Slayer Ale (2012),Big Sky Brewing Company,"Missoula, MT",American Pale Wheat Ale,12 oz.,5.00%,35
Buffalo Sweat,Tallgrass Brewing Company,"Manhattan, KS",Milk / Sweet Stout,16 oz.,5.00%,20
American Idiot Ale (2012),SanTan Brewing Company,"Chandler, AZ",American Pale Ale (APA),12 oz.,5.50%,45
Hopluia (2004),Spilker Ales,"Cortland, NE",English India Pale Ale (IPA),16 oz.,???,N/A
Ace IPA,Wingman Brewers,"Tacoma, WA",American IPA,16 oz.,7.40%,83
P-51 Porter,Wingman Brewers,"Tacoma, WA",American Porter,16 oz.,8.00%,31
Cold Smoke Scotch Ale (2007),Kettle House Brewing Company,"Missoula, MT",Scotch Ale / Wee Heavy,16 oz.,6.50%,11
Double Haul IPA (2009),Kettle House Brewing Company,"Missoula, MT",American IPA,16 oz.,6.50%,65
Double Haul IPA (2006),Kettle House Brewing Company,"Missoula, MT",American IPA,16 oz.,6.50%,65
Atlantic Amber Ale (2004),New England Brewing Company,"Woodbridge, CT",American Amber / Red Ale,12 oz.,5.00%,N/A
Brooklyn Summer Ale,Brooklyn Brewery,"Brooklyn, NY",English Pale Mild Ale,12 oz.,4.50%,N/A
Dale's Pale Ale (2011),Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),12 oz.,6.50%,65
Dale's Pale Ale (2010),Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),12 oz.,6.50%,65
Summer Solstice Cerveza Crema (2009),Anderson Valley Brewing Company,"Boonville, CA",Cream Ale,12 oz.,5.60%,4
Hurricane Amber Ale (2004),Coastal Extreme Brewing Company,"Newport, RI",American Amber / Red Ale,12 oz.,5.20%,24
Burning Bush Smoked IPA,Golden Road Brewing,"Los Angeles, CA",American IPA,16 oz.,8.00%,70
Wolf Among Weeds IPA (2012),Golden Road Brewing,"Los Angeles, CA",American IPA,16 oz.,8.00%,70
Fat Tire Amber Ale (2011),New Belgium Brewing Company,"Fort Collins, CO",American Amber / Red Ale,12 oz.,5.20%,18
Old Grogham Imperial India Pale Ale (2012),Natian Brewery,"Portland, OR",American Double / Imperial IPA,16 oz.,8.50%,86
CuDa Cascadian Dark Ale (2012),Natian Brewery,"Portland, OR",American Black Ale,16 oz.,7.40%,N/A
Dale's Pale Ale (2008),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65
Dale's Pale Ale (2006),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65
Dale's Pale Ale (2004),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65
Dale's Pale Ale (2003),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65
Dale's Pale Ale (2002),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65
Hop Slayer Double IPA (2011),Wild Onion Brewing Company,"Lake Barrington, IL",American Double / Imperial IPA,12 oz.,8.20%,100
Indianapolis Indians Lager,Sun King Brewing Company,"Indianapolis, IN",Dortmunder / Export Lager,16 oz.,5.20%,24
Archer's Ale (2004),Sherwood Forest Brewers,"Marlborough, MA",English Pale Ale,12 oz.,5.00%,N/A
Chester's Beer (2005),Cottrell Brewing,"Pawcatuck, CT",American Pale Lager,12 oz.,3.80%,N/A
Ornery Amber Lager (2003),Tommyknocker Brewery,"Idaho Springs, CO",Vienna Lager,12 oz.,5.50%,33
On-On Ale (2008),Arctic Craft Brewery,"Colorado Springs, CO",American Pale Ale (APA),12 oz.,5.20%,N/A
Leroy (2005),Oskar Blues Brewery,"Lyons, CO",American Brown Ale,12 oz.,5.20%,N/A
Gordon Beer (2006),Oskar Blues Brewery,"Lyons, CO",American Double / Imperial IPA,12 oz.,8.70%,60
Kaleidoscope Collaboration 2012,Devil's Canyon Brewery,"Belmont, CA",American Black Ale,16 oz.,???,N/A
California Sunshine Rye IPA,Devil's Canyon Brewery,"Belmont, CA",American IPA,16 oz.,7.10%,85
Midnight Ryder,Indeed Brewing Company,"Minneapolis, MN",American Black Ale,12 oz.,6.50%,80
Day Tripper Pale Ale,Indeed Brewing Company,"Minneapolis, MN",American Pale Ale (APA),12 oz.,5.40%,45
Shipyard Export,Shipyard Brewing Company,"Portland, ME",American Blonde Ale,12 oz.,5.10%,N/A
G'KNIGHT (16 oz.),Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,16 oz.,8.70%,85
Cant Dog Imperial Pale Ale,Marshall Wharf Brewing Company,"Belfast, ME",American Double / Imperial IPA,16 oz.,9.70%,N/A
Hilliard's Blonde,Hilliard's Beer,"Seattle, WA",American Blonde Ale,16 oz.,4.90%,20
15th Anniversary Abbey Ale (2012),Oskar Blues Brewery,"Longmont, CO",Belgian Dark Ale,16 oz.,9.00%,N/A
Sweet Georgia Brown,Monkey Paw Pub & Brewery,"San Diego, CA",American Brown Ale,16 oz.,5.40%,N/A
Rich Man's IIPA,Monkey Paw Pub & Brewery,"San Diego, CA",American Double / Imperial IPA,16 oz.,8.70%,N/A
Monkey Paw Oatmeal Pale Ale,Monkey Paw Pub & Brewery,"San Diego, CA",American Pale Ale (APA),16 oz.,5.80%,N/A
Trigger Blonde Ale,Crabtree Brewing Company,"Greeley, CO",American Blonde Ale,16 oz.,4.80%,N/A
Long Day Lager,Red Hare Brewing Company,"Marietta, GA",Czech Pilsener,12 oz.,4.90%,N/A
Aloha B’ak’tun,Maui Brewing Company,"Lahaina, HI",Belgian Strong Dark Ale,12 oz.,7.00%,N/A
Liquid Breadfruit,Maui Brewing Company,"Lahaina, HI",Fruit / Vegetable Beer,12 oz.,8.20%,N/A
Over the Rail Pale Ale,Pug Ryan's Brewery,"Dillon, CO",American Pale Ale (APA),12 oz.,5.70%,68
Rye Porter,Revolution Brewing,"Paonia, CO",American Porter,16 oz.,???,N/A
Miner's Gold,Revolution Brewing,"Paonia, CO",American Blonde Ale,16 oz.,5.00%,N/A
Vienna Lager,Revolution Brewing,"Paonia, CO",Vienna Lager,16 oz.,4.60%,N/A
Celsius Summer Ale (2012),Baxter Brewing Company,"Lewiston, ME",American Pale Wheat Ale,12 oz.,4.70%,N/A
Jessie's Garage,Revolution Brewing,"Paonia, CO",American Pale Ale (APA),16 oz.,5.60%,N/A
Hog Wild India Pale Ale,Aviator Brewing Company,"Fuquay-Varina, NC",American IPA,12 oz.,6.70%,N/A
Devils Tramping Ground Tripel,Aviator Brewing Company,"Fuquay-Varina, NC",Tripel,12 oz.,9.20%,5
Hot Rod Red,Aviator Brewing Company,"Fuquay-Varina, NC",American Amber / Red Ale,12 oz.,6.10%,41
The Farmer's Daughter,Lucette Brewing Company,"Menominie, WI",American Blonde Ale,16 oz.,4.80%,N/A
Session '33 (2011),Mustang Brewing Company,"Mustang, OK",American Pale Lager,12 oz.,4.00%,N/A
Indians Victory Lager (2012),Sun King Brewing Company,"Indianapolis, IN",Dortmunder / Export Lager,16 oz.,5.20%,24
Stimulator Pale Ale,Pateros Creek Brewing Company,"Fort Collins, CO",American Pale Ale (APA),16 oz.,5.30%,48
Old Town Ale,Pateros Creek Brewing Company,"Fort Collins, CO",Kölsch,16 oz.,4.50%,22
Car 21,Pateros Creek Brewing Company,"Fort Collins, CO",English Bitter,16 oz.,4.40%,28
Cache La Porter,Pateros Creek Brewing Company,"Fort Collins, CO",American Porter,16 oz.,5.00%,24
Flying Jenny Extra Pale Ale (2012),Grey Sail Brewing of Rhode Island,"Westerly, RI",American Pale Ale (APA),12 oz.,6.00%,54
Blue Point White IPA,Blue Point Brewing Company,"Patchogue, NY",American White IPA,12 oz.,6.00%,40
Walloon (2014),Southern Star Brewing Company,"Conroe, TX",Saison / Farmhouse Ale,12 oz.,5.50%,N/A
Sobrehumano Palena'ole,Maui Brewing Company,"Lahaina, HI",American Amber / Red Ale,12 oz.,6.00%,24
Mystic Mama IPA,Jackie O's Pub & Brewery,"Athens, OH",American IPA,12 oz.,7.00%,N/A
Firefly Amber Ale,Jackie O's Pub & Brewery,"Athens, OH",American Amber / Red Ale,12 oz.,5.00%,N/A
Chomolungma Honey Nut Brown Ale,Jackie O's Pub & Brewery,"Athens, OH",English Brown Ale,12 oz.,6.70%,N/A
Saranac White IPA,Matt Brewing Company,"Utica, NY",American IPA,12 oz.,6.00%,N/A
Lava Lake Wit,Crazy Mountain Brewing Company,"Edwards, CO",Witbier,12 oz.,5.20%,15
Drop Dead Blonde,Stevens Point Brewery,"Stevens Point, WI",American Blonde Ale,12 oz.,3.50%,N/A
Upslope Belgian Style Pale Ale,Upslope Brewing Company,"Boulder, CO",Belgian Pale Ale,12 oz.,7.50%,30
Mjolnir Imperial IPA,Fearless Brewing Company,"Estacada, OR",American Double / Imperial IPA,16 oz.,6.90%,N/A
Summertime Ale,Crystal Springs Brewing Company,"Boulder, CO",Kölsch,16 oz.,5.20%,23
Boater Beer,Eddyline Brewery & Restaurant,"Buena Vista, CO",German Pilsener,16 oz.,4.50%,N/A
Big Red Coq (2012),Brewery Vivant,"Grand Rapids, MI",American Amber / Red Ale,16 oz.,6.20%,N/A
Halcyon Unfiltered Wheat,Tallgrass Brewing Company,"Manhattan, KS",American Pale Wheat Ale,16 oz.,5.00%,20
Quick Wit Belgianesque Ale,Fort George Brewery,"Astoria, OR",Witbier,16 oz.,5.20%,N/A
Dottie Seattle Lager,Emerald City Beer Company,"Seattle, WA",American Amber / Red Lager,16 oz.,4.90%,25
Hop A Potamus Double Dark Rye Pale Ale,Great River Brewery,"Davenport, IA",Rye Beer,16 oz.,9.00%,99
Zaison (2012),Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,9.00%,N/A
Vivant Tripel (2012),Brewery Vivant,"Grand Rapids, MI",Tripel,16 oz.,9.20%,N/A
Trebuchet Double IPA (2012),Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,9.70%,N/A
Mucho Aloha Hawaiian Pale Ale,Butcher's Brewing,"Carlsbad, CA",American Pale Ale (APA),12 oz.,5.60%,36
Blue Point Summer Ale,Blue Point Brewing Company,"Patchogue, NY",American Blonde Ale,12 oz.,4.40%,16
Rodeo Clown Double IPA,Karbach Brewing Company,"Houston, TX",American Double / Imperial IPA,12 oz.,9.50%,85
Toasted Lager,Blue Point Brewing Company,"Patchogue, NY",Vienna Lager,12 oz.,5.50%,28
Elevated IPA,La Cumbre Brewing Company,"Albuquerque, NM",American IPA,16 oz.,7.20%,100
TailGate IPA,TailGate Beer,"San Diego, CA",American IPA,24 oz.,5.00%,44
TailGate IPA,TailGate Beer,"San Diego, CA",American IPA,12 oz.,5.00%,44
Chaka,Oskar Blues Brewery,"Longmont, CO",Belgian Strong Pale Ale,16 oz. Alumi-Tek®,8.00%,N/A
Chaka,Sun King Brewing Company,"Indianapolis, IN",Belgian Strong Pale Ale,16 oz. Alumi-Tek®,8.00%,N/A
Crabtree Oatmeal Stout,Crabtree Brewing Company,"Greeley, CO",Oatmeal Stout,16 oz.,7.50%,29
HUB Lager,Hopworks Urban Brewery,"Portland, OR",Czech Pilsener,16 oz.,5.10%,32
Summer of Lager,Cisco Brewers,"Nantucket, MA",Munich Helles Lager,12 oz.,6.20%,N/A
Indie Pale Ale,Cisco Brewers,"Nantucket, MA",American IPA,12 oz.,6.50%,N/A
Farmer Brown Ale,Great River Brewery,"Davenport, IA",American Brown Ale,16 oz.,7.00%,22
Undun Blonde Ale (2012),Natian Brewery,"Portland, OR",American Blonde Ale,16 oz.,5.30%,N/A
Hopworks IPA (2012),Hopworks Urban Brewery,"Portland, OR",American IPA,16 oz.,6.60%,75
West Sixth IPA,West Sixth Brewing,"Lexington, KY",American IPA,12 oz.,???,N/A
Isis,Sun King Brewing Company,"Indianapolis, IN",American Double / Imperial IPA,16 oz.,9.10%,91
Three Kings Ale,Stevens Point Brewery,"Stevens Point, WI",Kölsch,12 oz.,4.90%,13
Great Crescent Brown Ale,Great Crescent Brewery,"Aurora, IN",American Brown Ale,16 oz.,4.50%,36
Fairweather IPA,Broken Tooth Brewing Company,"Anchorage, AK",American IPA,12 oz.,6.10%,64
Full Boar Scotch Ale,Devil's Canyon Brewery,"Belmont, CA",Scotch Ale / Wee Heavy,16 oz.,7.40%,12
Nut Brown Ale,New South Brewing Company,"Myrtle Beach, SC",English Brown Ale,12 oz.,5.40%,N/A
Rocket Bike American Lager,Moab Brewery,"Moab, UT",California Common / Steam Beer,16 oz.,4.00%,N/A
Johnny's American IPA,Moab Brewery,"Moab, UT",American IPA,16 oz.,4.00%,N/A
Big River Pilsner,Big River Brewing Company,"Chattanooga, TN",Czech Pilsener,12 oz.,5.00%,32
Outlaw IPA (2015),Two Brothers Brewing Company,"Warrenville, IL",American IPA,12 oz.,6.50%,N/A
Hoppy Boy,Twisted Pine Brewing Company,"Boulder, CO",American IPA,16 oz.,6.20%,65
Hipster Ale (Westbrook Brewing),Evil Twin Brewing,"Brooklyn, NY",American Pale Ale (APA),12 oz.,5.50%,N/A
Cherry Ale (1),Great Crescent Brewery,"Aurora, IN",Fruit / Vegetable Beer,16 oz.,5.70%,18
White Zombie Ale,Catawba Brewing Company,"Morganton, NC",Witbier,12 oz.,4.70%,N/A
Monkeynaut IPA,Straight to Ale,"Huntsville, AL",American IPA,12 oz.,7.20%,70
Ryeteous Rye IPA (2012),Renegade Brewing Company,"Denver, CO",American IPA,16 oz.,7.00%,100
Firestarter India Pale Ale,Bonfire Brewing Company,"Eagle, CO",American IPA,16 oz.,6.60%,72
House Brand IPA,Big River Brewing Company,"Chattanooga, TN",American IPA,12 oz.,6.00%,55
Flagship Ale,Grey Sail Brewing of Rhode Island,"Westerly, RI",Cream Ale,12 oz.,4.90%,22
Apollo,Sixpoint Craft Ales,"Brooklyn, NY",American Pale Wheat Ale,16 oz.,5.20%,11
Harbinger,Sixpoint Craft Ales,"Brooklyn, NY",Saison / Farmhouse Ale,16 oz.,4.90%,35
Resin,Sixpoint Craft Ales,"Brooklyn, NY",American Double / Imperial IPA,12 oz.,9.10%,103
Kludde,Brewery Vivant,"Grand Rapids, MI",Belgian Strong Dark Ale,16 oz.,8.50%,N/A
Aurora Lager (2011),Great Crescent Brewery,"Aurora, IN",Dortmunder / Export Lager,16 oz.,5.70%,27
Desert Magic IPA,Mudshark Brewing Company,"Lake Havasu City, AZ",American IPA,12 oz.,7.20%,N/A
TailGate Hefeweizen,TailGate Beer,"San Diego, CA",Hefeweizen,24 oz.,4.90%,28
Blacktop Blonde,TailGate Beer,"San Diego, CA",American Blonde Ale,24 oz.,5.00%,19
B3K Black Lager,Wynkoop Brewing Company,"Denver, CO",Schwarzbier,12 oz.,5.50%,N/A
Wachusett Blueberry Ale,Wachusett Brewing Company,"Westminster, MA",Fruit / Vegetable Beer,12 oz.,4.50%,10
Green Monsta IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,6.00%,55
Zonker Stout,Snake River Brewing Company,"Jackson, WY",Foreign / Export Stout,12 oz.,5.40%,36
Oregon Trail Unfiltered Raspberry Wheat,High Noon Saloon And Brewery,"Leavenworth, KS",Fruit / Vegetable Beer,12 oz.,4.50%,N/A
Frosted Fields Winter Wheat,Great Crescent Brewery,"Aurora, IN",American Dark Wheat Ale,16 oz.,6.00%,25
Upslope Foreign Style Stout,Upslope Brewing Company,"Boulder, CO",Foreign / Export Stout,12 oz.,6.90%,N/A
Mountain Livin' Pale Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Pale Ale (APA),12 oz.,6.00%,N/A
1327 Pod's ESB,Blue Blood Brewing Company,"Lincoln, NE",Extra Special / Strong Bitter (ESB),12 oz.,5.60%,37
834 Happy As Ale,Blue Blood Brewing Company,"Lincoln, NE",American Pale Ale (APA),12 oz.,4.60%,35
UFO White,Harpoon Brewery,"Boston, MA",American Pale Wheat Ale,12 oz.,4.80%,10
Rosa Hibiscus Ale,Revolution Brewing Company,"Chicago, IL",Herbed / Spiced Beer,12 oz.,5.80%,15
Snake Dog IPA,Flying Dog Brewery,"Frederick, MD",American IPA,12 oz.,7.10%,60
Underdog Atlantic Lager,Flying Dog Brewery,"Frederick, MD",American Pale Lager,12 oz.,4.70%,28
Scotty K NA,Uncommon Brewers,"Santa Cruz, CA",Low Alcohol Beer,16 oz.,0.10%,N/A
Midwest Charm Farmhouse Ale,Okoboji Brewing Company,"Spirit Lake, IA",Saison / Farmhouse Ale,16 oz.,6.00%,29
Boji Blue Pale Ale,Okoboji Brewing Company,"Spirit Lake, IA",American Pale Ale (APA),16 oz.,5.00%,45
Winter Games Select #32 Stout,Okoboji Brewing Company,"Spirit Lake, IA",American Stout,16 oz.,5.70%,26
Boji Beach Golden Rye Ale,Okoboji Brewing Company,"Spirit Lake, IA",Rye Beer,16 oz.,5.00%,23
Santa Fe Irish Red Ale,Santa Fe Brewing Company,"Santa Fe, NM",Irish Red Ale,12 oz.,4.50%,N/A
This Season's Blonde,Aspen Brewing Company,"Aspen, CO",American Blonde Ale,12 oz.,5.60%,27
Independence Pass Ale,Aspen Brewing Company,"Aspen, CO",American IPA,12 oz.,7.00%,67
8-Bit Pale Ale,Tallgrass Brewing Company,"Manhattan, KS",American Pale Ale (APA),16 oz.,5.20%,N/A
Triangle India Pale Ale,Triangle Brewing Company,"Durham, NC",American IPA,12 oz.,5.70%,N/A
Longboard Island Lager,Kona Brewing Company,"Kona, HI",American Amber / Red Lager,12 oz.,4.60%,18
Bridal Veil Rye Pale Ale,Telluride Brewing Company,"Telluride, CO",American Pale Ale (APA),12 oz.,5.50%,N/A
Schlafly Hefeweizen,Schlafly Brewing Company,"Saint Louis, MO",Hefeweizen,12 oz.,4.10%,16
Snowshoe White Ale,Midnight Sun Brewing Company,"Anchorage, AK",Witbier,12 oz.,4.80%,12
Kodiak Brown Ale,Midnight Sun Brewing Company,"Anchorage, AK",American Brown Ale,12 oz.,5.00%,24
HGH (Home Grown Hops): Part Duh,Oskar Blues Brewery,"Longmont, CO",American Strong Ale,12 oz.,8.00%,70
Wee Muckle (2011),Sun King Brewing Company,"Indianapolis, IN",Scotch Ale / Wee Heavy,16 oz.,9.00%,30
Long Hammer IPA,Redhook Brewery,"Woodinville, WA",American IPA,12 oz.,6.50%,44
Balt Altbier,Union Craft Brewing,"Baltimore, MD",Altbier,12 oz.,6.00%,N/A
312 Urban Wheat Ale (2012),Goose Island Brewing Company,"Chicago, IL",American Pale Wheat Ale,12 oz.,4.20%,20
Narragansett Cream Ale,Narragansett Brewing Company,"Providence, RI",Cream Ale,16 oz.,5.00%,22
Big Sky IPA (2012),Big Sky Brewing Company,"Missoula, MT",American IPA,12 oz.,6.20%,65
Shift,New Belgium Brewing Company,"Fort Collins, CO",American Pale Lager,16 oz.,5.00%,29
Bomb Lager (New Recipe),Bomb Beer Company,"New York, NY",Munich Helles Lager,12 oz.,5.10%,N/A
White Thai,Westbrook Brewing Company,"Mt. Pleasant, SC",Witbier,12 oz.,5.00%,16
Westbrook IPA,Westbrook Brewing Company,"Mt. Pleasant, SC",American IPA,12 oz.,6.80%,65
Blackbeary Wheat,Long Trail Brewing Company,"Bridgewater Corners, VT",Fruit / Vegetable Beer,12 oz.,4.00%,8
Long Trail Ale (1),Long Trail Brewing Company,"Bridgewater Corners, VT",Altbier,12 oz.,4.60%,30
Barney Flats Oatmeal Stout (2012),Anderson Valley Brewing Company,"Boonville, CA",Oatmeal Stout,12 oz.,5.70%,13
Maduro Brown Ale,Cigar City Brewing Company,"Tampa, FL",American Brown Ale,12 oz.,5.50%,25
Hotter Than Helles Lager,Cigar City Brewing Company,"Tampa, FL",Munich Helles Lager,12 oz.,5.00%,N/A
Tocobaga Red Ale,Cigar City Brewing Company,"Tampa, FL",American Amber / Red Ale,12 oz.,7.20%,75
668 Neighbor of the Beast,New England Brewing Company,"Woodbridge, CT",Belgian Pale Ale,12 oz.,9.00%,N/A
12 oz.,,,,,,
Churchkey Pilsner Style Beer,Churchkey Can Company,"Seattle, WA",American Pilsner,12 oz.,4.90%,29
East India Pale Ale,Brooklyn Brewery,"Brooklyn, NY",English India Pale Ale (IPA),12 oz.,6.80%,47
Deviant Dale's IPA,Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,16 oz.,8.00%,N/A
Ranger IPA,New Belgium Brewing Company,"Fort Collins, CO",American IPA,16 oz.,6.50%,70
Fat Tire Amber Ale,New Belgium Brewing Company,"Fort Collins, CO",American Amber / Red Ale,16 oz.,5.20%,18
Sunrise Oatmeal Pale Ale,Fort George Brewery,"Astoria, OR",American Pale Ale (APA),16 oz.,5.50%,N/A
Persnickety Pale,Two Beers Brewing Company,"Seattle, WA",American Pale Ale (APA),12 oz.,5.70%,36
Jon Boat Coastal Ale,Intuition Ale Works,"Jacksonville, FL",American Blonde Ale,12 oz.,4.50%,20
I-10 IPA,Intuition Ale Works,"Jacksonville, FL",American IPA,12 oz.,6.80%,55
Eclipse Black IPA,Crabtree Brewing Company,"Greeley, CO",American Black Ale,16 oz.,7.70%,71
Le Mort Vivant (2011),Southern Star Brewing Company,"Conroe, TX",Bière de Garde,12 oz.,6.90%,23
People's Pale Ale,Intuition Ale Works,"Jacksonville, FL",American Pale Ale (APA),12 oz.,5.30%,28
Cavatica Stout,Fort George Brewery,"Astoria, OR",American Double / Imperial Stout,16 oz.,8.80%,N/A
Rocket Girl,Asheville Brewing Company,"Asheville, NC",Kölsch,12 oz.,3.20%,27
Point the Way IPA (2012),Golden Road Brewing,"Los Angeles, CA",American IPA,16 oz.,5.90%,60
Golden Road Hefeweizen (2012),Golden Road Brewing,"Los Angeles, CA",Hefeweizen,16 oz.,4.60%,15
La Perouse White,Maui Brewing Company,"Lahaina, HI",Witbier,12 oz.,5.00%,12
Jai Alai IPA,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.50%,70
Florida Cracker Belgian Wit,Cigar City Brewing Company,"Tampa, FL",Witbier,12 oz.,5.00%,18
Old Elephant Foot IPA,Tampa Bay Brewing Company,"Tampa, FL",American IPA,16 oz.,7.00%,80
Bacon Brown Ale,Uncommon Brewers,"Santa Cruz, CA",American Brown Ale,16 oz.,6.80%,N/A
Canyon Cream Ale,Crow Peak Brewing Company,"Spearfish, SD",Cream Ale,12 oz.,5.50%,N/A
Walter's Premium Pilsener Beer,Northwoods Brewpub,"Eau Claire, WI",German Pilsener,12 oz.,4.50%,N/A
